Crime_Type,Severity_Level,Date,Time,Day_of_Week,Month,Year,Time_Slot,City,State,Police_Station_Area,Age_Group_Mostly_Affected,Population_Density,Previous_Crimes_Area,Police_Station_Distance,Patrol_Intensity,Victim_Gender,city_norm,state_norm,expected_lat,expected_lon,dist_to_expected_km,matched_type,Latitude_fixed,Longitude_fixed
Drug Offense,Low,26-04-2021,08:07,Saturday,11,2021,Morning,Hyderabad,Telangana,Central,Senior (56+),14290,25,4.44,Low,Male,hyderabad,karnataka,17.385,78.4867,680.3211595,city_only,17.385,78.4867
Fraud,Low,13-07-2024,00:59,Tuesday,4,2025,Afternoon,Lucknow,Uttar Pradesh,North,Young Adult (20-35),27410,27,8.33,High,Other,lucknow,gujarat,26.8467,80.9462,1661.912677,city_only,26.8467,80.9462
Fraud,Medium,25-06-2023,04:14,Thursday,8,2022,Evening,Chennai,Tamil Nadu,West,Child (0-12),12697,34,19.61,High,Male,chennai,maharashtra,13.0827,80.2707,1444.896568,city_only,13.0827,80.2707
Assault,High,02-08-2022,17:26,Sunday,7,2022,Afternoon,Mumbai,Maharashtra,North,Teen (13-19),25692,26,12.88,Low,Other,mumbai,uttar pradesh,19.076,72.8777,2377.124773,city_only,19.076,72.8777
Domestic Violence,Low,26-10-2023,12:23,Tuesday,7,2025,Night,Kolkata,West Bengal,East,Adult (36-55),14411,53,11.22,High,Male,kolkata,tamil nadu,22.5726,88.3639,1119.135223,city_only,22.5726,88.3639
Robbery,Critical,20-07-2022,05:24,Saturday,12,2024,Night,Bangalore,Karnataka,Central,Adult (36-55),18218,82,15.12,Medium,Other,bangalore,west bengal,12.9716,77.5946,1360.81425,city_only,12.9716,77.5946
Burglary,Low,24-09-2021,14:48,Sunday,12,2023,Evening,Mumbai,Maharashtra,South,Senior (56+),22849,48,3.26,Medium,Male,mumbai,tamil nadu,19.076,72.8777,1829.102179,city_only,19.076,72.8777
Vandalism,High,21-09-2025,03:25,Friday,7,2022,Morning,Chennai,Tamil Nadu,South,Young Adult (20-35),24050,69,8.99,Medium,Female,chennai,telangana,13.0827,80.2707,2714.681481,city_only,13.0827,80.2707
Murder,Low,26-05-2025,04:18,Saturday,11,2021,Morning,Bangalore,Karnataka,Central,Senior (56+),23368,44,16.74,Low,Male,bangalore,telangana,12.9716,77.5946,2829.285871,city_only,12.9716,77.5946
Vandalism,Medium,27-03-2022,04:22,Wednesday,6,2021,Afternoon,Bangalore,Karnataka,East,Young Adult (20-35),29770,42,2.02,Low,Female,bangalore,karnataka,12.9716,77.5946,2142.090711,city_state,12.9716,77.5946
Burglary,High,22-08-2022,21:41,Friday,1,2024,Afternoon,Lucknow,Uttar Pradesh,North,Adult (36-55),18080,62,7.95,High,Other,lucknow,uttar pradesh,26.8467,80.9462,4.725239741,city_state,26.8467,80.9462
Vandalism,Medium,12-04-2024,18:12,Thursday,10,2021,Evening,Hyderabad,Telangana,East,Adult (36-55),13386,13,13.31,High,Female,hyderabad,karnataka,17.385,78.4867,1777.145967,city_only,17.385,78.4867
Domestic Violence,Critical,29-05-2023,22:52,Saturday,11,2022,Evening,Hyderabad,Telangana,North,Senior (56+),22556,96,5.45,High,Female,hyderabad,tamil nadu,17.385,78.4867,839.0130619,city_only,17.385,78.4867
Robbery,Low,28-09-2022,16:26,Saturday,1,2023,Evening,Mumbai,Maharashtra,North,Senior (56+),12712,59,18.23,High,Other,mumbai,delhi,19.076,72.8777,102.9559364,city_only,19.076,72.8777
Burglary,Low,06-01-2025,03:46,Wednesday,5,2025,Evening,Pune,Maharashtra,South,Senior (56+),5455,25,11.96,Low,Female,pune,rajasthan,18.5204,73.8567,1960.023044,city_only,18.5204,73.8567
Robbery,Medium,12-09-2025,10:58,Wednesday,2,2021,Night,Delhi,Delhi,East,Senior (56+),26813,98,19.12,Low,Other,delhi,uttar pradesh,28.6139,77.209,1132.325041,city_only,28.6139,77.209
Drug Offense,Critical,03-06-2023,23:17,Thursday,7,2023,Evening,Delhi,Delhi,South,Teen (13-19),12685,53,13.21,High,Other,delhi,uttar pradesh,28.6139,77.209,1843.873414,city_only,28.6139,77.209
Murder,Medium,11-01-2021,00:28,Sunday,10,2025,Afternoon,Delhi,Delhi,North,Teen (13-19),24187,84,14.57,High,Female,delhi,telangana,28.6139,77.209,1472.639841,city_only,28.6139,77.209
Burglary,Medium,18-02-2024,01:07,Monday,12,2022,Afternoon,Chennai,Tamil Nadu,West,Child (0-12),10894,21,11.68,High,Female,chennai,gujarat,13.0827,80.2707,739.0957617,city_only,13.0827,80.2707
Theft,High,15-08-2024,23:24,Friday,9,2021,Afternoon,Mumbai,Maharashtra,South,Young Adult (20-35),10914,58,1.72,Low,Other,mumbai,tamil nadu,19.076,72.8777,1754.873272,city_only,19.076,72.8777
Burglary,Medium,30-04-2023,04:15,Saturday,2,2025,Afternoon,Ahmedabad,Gujarat,East,Young Adult (20-35),21497,4,7.25,Medium,Male,ahmedabad,telangana,23.0225,72.5714,2133.452653,city_only,23.0225,72.5714
Murder,Low,11-01-2023,13:35,Tuesday,12,2022,Afternoon,Bangalore,Karnataka,Central,Senior (56+),15137,94,1.59,Medium,Other,bangalore,rajasthan,12.9716,77.5946,489.005807,city_only,12.9716,77.5946
Cybercrime,Low,15-08-2022,16:44,Tuesday,8,2025,Night,Mumbai,Maharashtra,North,Adult (36-55),13056,98,13.19,Medium,Other,mumbai,west bengal,19.076,72.8777,1198.043917,city_only,19.076,72.8777
Cybercrime,Medium,28-01-2023,11:15,Wednesday,6,2025,Morning,Pune,Maharashtra,South,Adult (36-55),5936,7,18.96,Low,Other,pune,karnataka,18.5204,73.8567,1216.081589,city_only,18.5204,73.8567
Robbery,Low,11-07-2021,03:57,Friday,1,2024,Morning,Bangalore,Karnataka,West,Teen (13-19),12160,76,1.87,Low,Female,bangalore,delhi,12.9716,77.5946,2960.820183,city_only,12.9716,77.5946
Cybercrime,High,29-05-2021,05:35,Thursday,1,2021,Evening,Pune,Maharashtra,Central,Child (0-12),11657,73,1.72,Medium,Male,pune,delhi,18.5204,73.8567,867.2338877,city_only,18.5204,73.8567
Theft,Critical,15-05-2021,19:58,Saturday,8,2021,Afternoon,Jaipur,Rajasthan,Central,Teen (13-19),28289,20,11.39,Low,Other,jaipur,maharashtra,26.9124,75.7873,1174.404363,city_only,26.9124,75.7873
Burglary,Critical,28-10-2024,08:51,Monday,1,2023,Evening,Kolkata,West Bengal,West,Child (0-12),12650,45,3.84,Medium,Male,kolkata,west bengal,22.5726,88.3639,5.113656479,city_state,22.5726,88.3639
Murder,Low,19-03-2025,10:19,Monday,10,2025,Night,Chennai,Tamil Nadu,West,Teen (13-19),19064,42,12.93,High,Female,chennai,tamil nadu,13.0827,80.2707,4.914067577,city_state,13.0827,80.2707
Theft,Medium,02-03-2021,09:37,Friday,3,2025,Morning,Kolkata,West Bengal,North,Young Adult (20-35),5877,6,18.29,Medium,Male,kolkata,gujarat,22.5726,88.3639,409.1469757,city_only,22.5726,88.3639
Domestic Violence,High,25-01-2025,20:55,Monday,5,2024,Evening,Ahmedabad,Gujarat,North,Teen (13-19),17402,48,19.68,Medium,Other,ahmedabad,west bengal,23.0225,72.5714,1678.378675,city_only,23.0225,72.5714
Assault,Medium,12-10-2023,12:05,Wednesday,3,2021,Night,Ahmedabad,Gujarat,East,Child (0-12),27909,40,7.7,Low,Male,ahmedabad,tamil nadu,23.0225,72.5714,1870.051882,city_only,23.0225,72.5714
Theft,Critical,19-08-2022,09:47,Saturday,9,2022,Afternoon,Delhi,Delhi,Central,Child (0-12),9578,69,13.43,Medium,Male,delhi,west bengal,28.6139,77.209,1365.245043,city_only,28.6139,77.209
Domestic Violence,Low,16-02-2022,16:42,Tuesday,4,2021,Morning,Hyderabad,Telangana,East,Teen (13-19),20291,8,0.97,Low,Other,hyderabad,karnataka,17.385,78.4867,1411.204884,city_only,17.385,78.4867
Assault,Medium,18-09-2021,12:49,Monday,3,2021,Afternoon,Pune,Maharashtra,West,Senior (56+),28715,32,9.94,Low,Other,pune,west bengal,18.5204,73.8567,2400.743754,city_only,18.5204,73.8567
Assault,Medium,16-03-2023,16:18,Tuesday,6,2021,Evening,Pune,Maharashtra,East,Senior (56+),16373,92,4.98,Medium,Male,pune,maharashtra,18.5204,73.8567,4.799918281,city_state,18.5204,73.8567
Assault,Critical,30-07-2024,18:15,Wednesday,3,2021,Evening,Hyderabad,Telangana,East,Young Adult (20-35),16786,47,9.95,Medium,Female,hyderabad,uttar pradesh,17.385,78.4867,2439.737527,city_only,17.385,78.4867
Murder,Medium,12-05-2024,04:55,Sunday,10,2024,Night,Bangalore,Karnataka,Central,Child (0-12),24378,82,4.42,Medium,Female,bangalore,gujarat,12.9716,77.5946,2280.266208,city_only,12.9716,77.5946
Drug Offense,Critical,22-12-2022,03:18,Wednesday,2,2022,Evening,Kolkata,West Bengal,East,Child (0-12),7932,5,6.74,Medium,Male,kolkata,maharashtra,22.5726,88.3639,1343.424412,city_only,22.5726,88.3639
Cybercrime,Medium,08-09-2023,03:45,Friday,4,2025,Night,Ahmedabad,Gujarat,Central,Young Adult (20-35),28031,74,0.5,High,Male,ahmedabad,maharashtra,23.0225,72.5714,910.7073052,city_only,23.0225,72.5714
Cybercrime,High,09-02-2022,19:35,Monday,10,2024,Night,Hyderabad,Telangana,South,Adult (36-55),5556,50,1.76,High,Male,hyderabad,uttar pradesh,17.385,78.4867,2041.793338,city_only,17.385,78.4867
Murder,High,27-08-2024,03:59,Saturday,12,2025,Morning,Hyderabad,Telangana,East,Adult (36-55),24420,79,13.18,Low,Other,hyderabad,tamil nadu,17.385,78.4867,970.0762557,city_only,17.385,78.4867
Vandalism,Critical,25-08-2022,15:36,Friday,9,2021,Morning,Bangalore,Karnataka,West,Adult (36-55),25427,19,4.37,High,Male,bangalore,west bengal,12.9716,77.5946,1023.776991,city_only,12.9716,77.5946
Cybercrime,Low,10-12-2023,04:03,Monday,7,2021,Afternoon,Delhi,Delhi,East,Senior (56+),29871,32,0.91,Medium,Male,delhi,gujarat,28.6139,77.209,1051.406829,city_only,28.6139,77.209
Cybercrime,Critical,02-04-2023,06:18,Sunday,1,2025,Afternoon,Mumbai,Maharashtra,West,Young Adult (20-35),11972,28,3.54,Low,Other,mumbai,telangana,19.076,72.8777,515.7412142,city_only,19.076,72.8777
Assault,Medium,24-02-2024,10:05,Saturday,12,2022,Afternoon,Bangalore,Karnataka,West,Child (0-12),7530,50,14.4,Low,Female,bangalore,telangana,12.9716,77.5946,1516.095079,city_only,12.9716,77.5946
Drug Offense,Medium,01-02-2023,17:28,Tuesday,11,2025,Afternoon,Jaipur,Rajasthan,North,Young Adult (20-35),21159,51,15.79,Low,Female,jaipur,maharashtra,26.9124,75.7873,814.642941,city_only,26.9124,75.7873
Burglary,Medium,04-11-2021,02:19,Friday,4,2021,Night,Lucknow,Uttar Pradesh,West,Young Adult (20-35),26064,61,0.89,High,Female,lucknow,telangana,26.8467,80.9462,1507.357735,city_only,26.8467,80.9462
Theft,Medium,13-05-2022,16:17,Friday,11,2024,Evening,Kolkata,West Bengal,East,Child (0-12),7122,25,8.44,Low,Male,kolkata,uttar pradesh,22.5726,88.3639,1182.857531,city_only,22.5726,88.3639
Burglary,Critical,02-12-2021,18:16,Tuesday,11,2024,Night,Lucknow,Uttar Pradesh,West,Adult (36-55),14137,47,9.94,Medium,Female,lucknow,west bengal,26.8467,80.9462,422.9740212,city_only,26.8467,80.9462
Murder,High,12-02-2025,13:33,Wednesday,8,2021,Night,Jaipur,Rajasthan,West,Adult (36-55),14794,13,12.96,Medium,Female,jaipur,tamil nadu,26.9124,75.7873,1985.985917,city_only,26.9124,75.7873
Vandalism,Medium,22-02-2025,03:04,Saturday,5,2023,Afternoon,Ahmedabad,Gujarat,South,Teen (13-19),11296,39,9.12,High,Male,ahmedabad,maharashtra,23.0225,72.5714,1282.151064,city_only,23.0225,72.5714
Burglary,Medium,26-07-2024,17:24,Friday,4,2025,Afternoon,Ahmedabad,Gujarat,South,Teen (13-19),12949,89,9.7,High,Other,ahmedabad,gujarat,23.0225,72.5714,4.007219935,city_state,23.0225,72.5714
Domestic Violence,High,07-04-2023,00:15,Wednesday,7,2024,Night,Delhi,Delhi,Central,Adult (36-55),22479,24,17.59,Low,Female,delhi,tamil nadu,28.6139,77.209,2553.950774,city_only,28.6139,77.209
Robbery,Low,05-05-2021,00:40,Thursday,11,2022,Afternoon,Hyderabad,Telangana,South,Senior (56+),5897,41,7.95,Low,Other,hyderabad,uttar pradesh,17.385,78.4867,800.6572824,city_only,17.385,78.4867
Domestic Violence,High,09-04-2023,18:41,Tuesday,7,2021,Night,Ahmedabad,Gujarat,West,Adult (36-55),19931,9,0.97,High,Female,ahmedabad,delhi,23.0225,72.5714,2328.043168,city_only,23.0225,72.5714
Cybercrime,Critical,12-03-2024,02:57,Wednesday,7,2021,Afternoon,Ahmedabad,Gujarat,South,Adult (36-55),11248,16,10.49,Medium,Other,ahmedabad,telangana,23.0225,72.5714,1128.387007,city_only,23.0225,72.5714
Assault,Medium,09-03-2023,01:38,Thursday,8,2025,Morning,Mumbai,Maharashtra,West,Teen (13-19),27251,81,12.6,High,Other,mumbai,maharashtra,19.076,72.8777,1.08721134,city_state,19.076,72.8777
Theft,Medium,24-01-2025,16:49,Friday,10,2022,Evening,Lucknow,Uttar Pradesh,East,Teen (13-19),6392,32,16.96,Low,Male,lucknow,maharashtra,26.8467,80.9462,1577.182715,city_only,26.8467,80.9462
Fraud,Critical,26-03-2021,15:33,Wednesday,3,2022,Morning,Chennai,Tamil Nadu,Central,Young Adult (20-35),9890,26,2.09,High,Female,chennai,telangana,13.0827,80.2707,2619.802231,city_only,13.0827,80.2707
Drug Offense,Medium,30-01-2021,10:57,Saturday,7,2022,Morning,Ahmedabad,Gujarat,Central,Adult (36-55),14352,66,7.2,High,Female,ahmedabad,rajasthan,23.0225,72.5714,1266.491978,city_only,23.0225,72.5714
Theft,High,19-09-2024,04:59,Thursday,9,2024,Night,Pune,Maharashtra,Central,Young Adult (20-35),12530,75,9.21,High,Female,pune,delhi,18.5204,73.8567,1321.705773,city_only,18.5204,73.8567
Theft,Low,16-12-2023,08:16,Sunday,1,2021,Afternoon,Chennai,Tamil Nadu,South,Young Adult (20-35),23818,17,9.09,Low,Other,chennai,maharashtra,13.0827,80.2707,1043.873237,city_only,13.0827,80.2707
Murder,Medium,10-02-2025,10:26,Wednesday,1,2024,Evening,Chennai,Tamil Nadu,Central,Senior (56+),8864,13,18.61,High,Female,chennai,west bengal,13.0827,80.2707,1287.558374,city_only,13.0827,80.2707
Assault,High,05-12-2024,04:38,Wednesday,12,2025,Afternoon,Kolkata,West Bengal,East,Senior (56+),11938,80,14.89,Medium,Male,kolkata,tamil nadu,22.5726,88.3639,2008.667793,city_only,22.5726,88.3639
Murder,Low,13-07-2023,04:31,Thursday,12,2025,Evening,Kolkata,West Bengal,South,Young Adult (20-35),23658,2,14.16,Medium,Female,kolkata,gujarat,22.5726,88.3639,1676.284573,city_only,22.5726,88.3639
Fraud,Low,29-09-2021,02:34,Sunday,6,2023,Afternoon,Bangalore,Karnataka,North,Young Adult (20-35),23004,16,8.05,Medium,Female,bangalore,gujarat,12.9716,77.5946,2635.946698,city_only,12.9716,77.5946
Murder,Low,18-10-2023,22:56,Saturday,5,2021,Evening,Lucknow,Uttar Pradesh,South,Senior (56+),15023,89,7.13,Low,Male,lucknow,west bengal,26.8467,80.9462,1263.647394,city_only,26.8467,80.9462
Vandalism,Medium,12-12-2021,10:20,Wednesday,5,2022,Night,Mumbai,Maharashtra,East,Teen (13-19),12453,4,12.86,High,Other,mumbai,maharashtra,19.076,72.8777,2.371693468,city_state,19.076,72.8777
Assault,Critical,13-02-2021,11:52,Tuesday,10,2025,Morning,Bangalore,Karnataka,West,Young Adult (20-35),24810,85,16.31,Medium,Female,bangalore,maharashtra,12.9716,77.5946,1780.708753,city_only,12.9716,77.5946
Assault,Medium,13-07-2022,22:40,Sunday,8,2023,Night,Pune,Maharashtra,North,Teen (13-19),6755,69,19.12,Low,Other,pune,west bengal,18.5204,73.8567,350.1708575,city_only,18.5204,73.8567
Robbery,Low,04-09-2025,17:04,Friday,9,2023,Morning,Jaipur,Rajasthan,East,Young Adult (20-35),20044,22,1.13,Medium,Male,jaipur,rajasthan,26.9124,75.7873,3.854060988,city_state,26.9124,75.7873
Murder,Low,19-05-2024,14:10,Friday,5,2022,Evening,Ahmedabad,Gujarat,South,Young Adult (20-35),8955,12,6.25,Low,Other,ahmedabad,rajasthan,23.0225,72.5714,1959.557221,city_only,23.0225,72.5714
Murder,Low,30-04-2024,18:31,Friday,5,2024,Afternoon,Pune,Maharashtra,South,Senior (56+),14332,92,18.08,Low,Female,pune,gujarat,18.5204,73.8567,1840.249251,city_only,18.5204,73.8567
Cybercrime,High,12-07-2023,01:10,Sunday,6,2022,Morning,Bangalore,Karnataka,North,Adult (36-55),19440,97,10.91,Medium,Other,bangalore,gujarat,12.9716,77.5946,738.5565719,city_only,12.9716,77.5946
Vandalism,Critical,20-02-2025,14:10,Tuesday,1,2024,Night,Kolkata,West Bengal,North,Child (0-12),11700,68,7.58,Low,Male,kolkata,maharashtra,22.5726,88.3639,1120.672625,city_only,22.5726,88.3639
Burglary,High,16-02-2022,01:07,Wednesday,4,2021,Evening,Lucknow,Uttar Pradesh,South,Child (0-12),21786,70,1.12,Low,Female,lucknow,uttar pradesh,26.8467,80.9462,2.182089095,city_state,26.8467,80.9462
Assault,Medium,31-05-2023,16:22,Saturday,6,2023,Afternoon,Kolkata,West Bengal,South,Teen (13-19),10983,12,8.74,Medium,Other,kolkata,delhi,22.5726,88.3639,626.7872998,city_only,22.5726,88.3639
Drug Offense,Medium,14-02-2022,13:56,Tuesday,10,2021,Afternoon,Chennai,Tamil Nadu,East,Senior (56+),9196,88,12.96,High,Male,chennai,karnataka,13.0827,80.2707,599.95052,city_only,13.0827,80.2707
Burglary,Medium,25-07-2024,12:39,Wednesday,7,2022,Night,Bangalore,Karnataka,North,Teen (13-19),16793,8,8.16,Low,Male,bangalore,gujarat,12.9716,77.5946,2049.937826,city_only,12.9716,77.5946
Domestic Violence,Critical,17-11-2023,19:44,Wednesday,8,2025,Morning,Delhi,Delhi,South,Young Adult (20-35),11498,9,17.19,Medium,Male,delhi,karnataka,28.6139,77.209,1959.410788,city_only,28.6139,77.209
Burglary,Low,29-08-2023,20:09,Saturday,2,2024,Afternoon,Jaipur,Rajasthan,East,Child (0-12),10669,79,5.45,Low,Female,jaipur,tamil nadu,26.9124,75.7873,949.9595004,city_only,26.9124,75.7873
Fraud,Critical,25-12-2024,13:35,Friday,3,2022,Afternoon,Kolkata,West Bengal,South,Child (0-12),13307,35,15.17,Low,Female,kolkata,gujarat,22.5726,88.3639,2213.819238,city_only,22.5726,88.3639
Fraud,Medium,24-02-2024,03:05,Saturday,5,2021,Afternoon,Delhi,Delhi,East,Adult (36-55),22064,95,2.91,Medium,Female,delhi,west bengal,28.6139,77.209,944.1336329,city_only,28.6139,77.209
Domestic Violence,Critical,31-07-2023,15:10,Saturday,8,2022,Night,Chennai,Tamil Nadu,Central,Child (0-12),16624,44,3.71,Medium,Male,chennai,karnataka,13.0827,80.2707,2615.14224,city_only,13.0827,80.2707
Drug Offense,High,12-10-2023,03:58,Monday,12,2021,Evening,Pune,Maharashtra,South,Young Adult (20-35),28923,25,2.29,Low,Female,pune,maharashtra,18.5204,73.8567,6.438118261,city_state,18.5204,73.8567
Murder,High,17-04-2025,09:39,Friday,3,2021,Morning,Ahmedabad,Gujarat,Central,Teen (13-19),14528,46,4.15,Low,Male,ahmedabad,telangana,23.0225,72.5714,1355.648223,city_only,23.0225,72.5714
Robbery,Critical,06-09-2021,16:14,Thursday,8,2025,Morning,Chennai,Tamil Nadu,North,Young Adult (20-35),26407,95,9.16,Medium,Other,chennai,karnataka,13.0827,80.2707,711.1800799,city_only,13.0827,80.2707
Cybercrime,High,08-02-2022,12:56,Monday,10,2025,Afternoon,Bangalore,Karnataka,North,Young Adult (20-35),27199,30,1.73,High,Male,bangalore,tamil nadu,12.9716,77.5946,1294.325972,city_only,12.9716,77.5946
Robbery,High,25-12-2023,13:13,Tuesday,4,2024,Afternoon,Mumbai,Maharashtra,East,Child (0-12),9302,12,18.61,High,Female,mumbai,rajasthan,19.076,72.8777,1900.736824,city_only,19.076,72.8777
Theft,High,12-05-2023,14:31,Wednesday,1,2023,Night,Chennai,Tamil Nadu,Central,Teen (13-19),25045,46,6.67,High,Other,chennai,gujarat,13.0827,80.2707,1018.609999,city_only,13.0827,80.2707
Robbery,Low,31-05-2022,07:05,Monday,5,2022,Afternoon,Hyderabad,Telangana,Central,Young Adult (20-35),13976,31,14.43,Medium,Other,hyderabad,tamil nadu,17.385,78.4867,2073.776884,city_only,17.385,78.4867
Fraud,Low,27-01-2022,22:46,Friday,3,2023,Evening,Bangalore,Karnataka,South,Adult (36-55),22439,6,14.83,Medium,Other,bangalore,rajasthan,12.9716,77.5946,1532.096993,city_only,12.9716,77.5946
Fraud,Medium,30-10-2022,13:38,Friday,3,2024,Evening,Pune,Maharashtra,East,Young Adult (20-35),9205,74,9.3,Medium,Male,pune,uttar pradesh,18.5204,73.8567,281.1962461,city_only,18.5204,73.8567
Vandalism,Low,02-08-2023,12:45,Wednesday,5,2023,Night,Delhi,Delhi,Central,Child (0-12),25312,30,3.95,High,Male,delhi,gujarat,28.6139,77.209,1020.132523,city_only,28.6139,77.209
Robbery,Critical,06-07-2023,15:58,Saturday,8,2025,Afternoon,Chennai,Tamil Nadu,Central,Young Adult (20-35),14275,50,3.8,High,Other,chennai,karnataka,13.0827,80.2707,523.3329025,city_only,13.0827,80.2707
Theft,Critical,28-08-2024,08:15,Thursday,1,2023,Evening,Jaipur,Rajasthan,North,Adult (36-55),15749,16,19.46,High,Female,jaipur,maharashtra,26.9124,75.7873,1045.1063,city_only,26.9124,75.7873
Robbery,Critical,01-12-2022,12:13,Monday,12,2023,Night,Bangalore,Karnataka,West,Senior (56+),12910,1,9.04,Medium,Other,bangalore,maharashtra,12.9716,77.5946,2332.394568,city_only,12.9716,77.5946
Domestic Violence,Medium,26-04-2023,06:10,Tuesday,3,2024,Afternoon,Hyderabad,Telangana,West,Child (0-12),27510,11,1.03,Low,Other,hyderabad,maharashtra,17.385,78.4867,255.7000655,city_only,17.385,78.4867
Murder,Low,27-06-2022,11:21,Saturday,10,2025,Night,Kolkata,West Bengal,North,Child (0-12),24644,26,19.4,High,Female,kolkata,delhi,22.5726,88.3639,1623.84811,city_only,22.5726,88.3639
Robbery,Critical,09-10-2021,05:19,Friday,8,2021,Evening,Kolkata,West Bengal,North,Young Adult (20-35),26678,4,14.11,Low,Male,kolkata,karnataka,22.5726,88.3639,1767.256173,city_only,22.5726,88.3639
Robbery,Low,30-03-2022,14:58,Friday,7,2022,Evening,Kolkata,West Bengal,South,Adult (36-55),13002,42,10,Low,Male,kolkata,maharashtra,22.5726,88.3639,1294.973334,city_only,22.5726,88.3639
Assault,High,28-10-2021,16:18,Thursday,9,2024,Night,Bangalore,Karnataka,West,Senior (56+),29833,16,1.05,Low,Male,bangalore,west bengal,12.9716,77.5946,517.4842395,city_only,12.9716,77.5946
Cybercrime,Critical,13-05-2021,14:02,Sunday,12,2021,Night,Mumbai,Maharashtra,South,Teen (13-19),25040,42,5.84,High,Male,mumbai,rajasthan,19.076,72.8777,1383.525273,city_only,19.076,72.8777
Domestic Violence,Medium,27-04-2023,09:05,Wednesday,5,2023,Afternoon,Bangalore,Karnataka,Central,Adult (36-55),24456,89,13.88,Medium,Female,bangalore,telangana,12.9716,77.5946,2016.219912,city_only,12.9716,77.5946
Robbery,High,23-03-2023,09:35,Sunday,6,2023,Morning,Bangalore,Karnataka,East,Senior (56+),23419,58,10.91,Medium,Other,bangalore,rajasthan,12.9716,77.5946,2177.579278,city_only,12.9716,77.5946
Vandalism,Critical,29-03-2023,13:28,Tuesday,7,2023,Afternoon,Kolkata,West Bengal,North,Adult (36-55),7142,57,7.39,Medium,Male,kolkata,delhi,22.5726,88.3639,1113.343458,city_only,22.5726,88.3639
Cybercrime,Medium,12-07-2023,03:34,Tuesday,2,2023,Night,Pune,Maharashtra,South,Senior (56+),17246,33,2.91,Medium,Other,pune,telangana,18.5204,73.8567,530.8524916,city_only,18.5204,73.8567
Domestic Violence,Medium,05-02-2024,07:42,Sunday,4,2024,Morning,Chennai,Tamil Nadu,West,Senior (56+),27577,46,7.14,Low,Female,chennai,uttar pradesh,13.0827,80.2707,1727.453527,city_only,13.0827,80.2707
